"Asian and Middle Eastern Studies",,,,
,,"MPhil in Screen Media and Cultures",,"http://www.mml.cam.ac.uk/gradstudies/lectures&seminars.html"
,,,,
,,"Linguistics Tripos Part I","Linguistics",
,,"Linguistics Tripos Part IIA and Part IIB","Linguistics",
,,,,
"Music",,,,
,,"Music Tripos Part IA",,"http://www.mus.cam.ac.uk/internal/students/undergraduate/"
,,"Music Tripos Part IB",,"http://www.mus.cam.ac.uk/internal/students/undergraduate/"
,,"Music Tripos Part II",,"http://www.mus.cam.ac.uk/internal/students/undergraduate/"
,,,,
,,"Master of Music (Choral Studies)",,"http://www.mus.cam.ac.uk/internal/students/graduate/"
,,"MPhil in Music Studies",,"http://www.mus.cam.ac.uk/internal/students/graduate/"
,,"MPhil in Musical Composition",,"http://www.mus.cam.ac.uk/internal/students/graduate/"
,,,,
"Philosophy",,,,
,,"Philosophy Tripos Part IA",,"http://www.phil.cam.ac.uk/u_grads/u_grads_intro.html"
,,"Philosophy Tripos Part IB",,"http://www.phil.cam.ac.uk/u_grads/u_grads_intro.html"
,,"Philosophy Tripos Part II",,"http://www.phil.cam.ac.uk/u_grads/u_grads_intro.html"
,,,,
,,"MPhil in Philosophy",,"http://www.phil.cam.ac.uk/u_grads/u_grads_intro.html"
,,,,
"Physics & Chemistry",,,,
,,"MPhil in Micro- and Nanotechnology",,"http://www.msm.cam.ac.uk/teaching/mphil/calendar.php"
,,"MPhil in Scientific Computing ",,"http://www.csc.cam.ac.uk/academic/mphil/courseadmin/diary.shtml"
,,,,
,,,,
,,,,
"Natural Sciences Tripos",,,,
,,"Natural Sciences Tripos Part IA",,
,,,"Biology of Cells",
,,,"Chemistry",
,,,"Earth Sciences",
,,,"Evolution and Behaviour",
,,,"Materials Science",
,,,"Physics",
,,,"Physiology of Organisms",
,,,"Mathematics A",
,,,"Mathematics B",
,,,"Elementary Maths for Biologists",
,,,"Mathematical Biology",
,,,"Computer Science",
,,"Natural Sciences Tripos Part IB",,
,,,"Animal Biology",
,,,"Biochemistry & Molecular Biology",
,,,"Cell & Developmental Biology",
,,,"Chemistry A",
,,,"Chemistry B",
,,,"Ecology",
,,,"Experimental Psychology",
,,,"Geological Sciences A",
,,,"Geological Sciences B",
,,,"History and Philosophy of Science",
,,,"Materials Science",
,,,"Mathematics",
,,,"Neurobiology",
,,,"Pathology",
,,,"Pharmacology",
,,,"Physics A",
,,,"Physics B",
,,,"Physiology",
,,,"Plant & Microbial Sciences",
,,,"Mineral Sciences: Physics & Chemistry of Earth and Planetary Materials",
,,,,
,,,,
,,"Natural Sciences Tripos Part II",,
,,,"Astrophysics"," http://www.ast.cam.ac.uk/students/undergrad/part_ii/lectures"
,,,"Biological and Biomedical Sciences","http://www.bio.cam.ac.uk/sbs/facbiol/bbs/index.html"
,,,"Biochemistry ","http://www.bioc.cam.ac.uk/teaching/partii/index.html"
,,,"Chemistry ","http://www-teach.ch.cam.ac.uk/introcourses/guides.html"
,,,"Experimental & Theoretical Physics",
,,,"Genetics","http://www.gen.cam.ac.uk/undergrad/NSTIIgenetics11-12.pdf"
,,,"Geological Sciences","http://www.esc.cam.ac.uk/teaching/general-information"
,,,"History and Philosophy of Science","http://www.hps.cam.ac.uk/timetable/"
,,,"Materials Science","http://www.msm.cam.ac.uk/teaching/timetables.php"
,,,"Neuroscience","http://www.bio.cam.ac.uk/teaching/neuroscience/timetable.html"
,,,"Pathology","http://www.path.cam.ac.uk/undergraduate/part2/timetables.html"
,,,"Pharmacology","http://www.phar.cam.ac.uk/teaching/index.html#timetables"
,,,"Physiology, Development and Neuroscience","http://www.pdn.cam.ac.uk/teaching/resources/timetabledb/htdocs/"
,,,"Physical Sciences","#Please-refer-to-the-relevant-timetables-for-the-Part-II-Half-Subject-and-Part-IB-subject"
,,,"Physiology and Psychology","#Please-refer-to-the-timetables-for-Part-II-Physiology-Development-and-Neuroscience,-and-Part-II-Psychology"
,,,"Plant Sciences","http://www.plantsci.cam.ac.uk/teaching/timetables.html"
,,,"Psychology","http://teaching.psychol.cam.ac.uk/teaching/pt2Ttables.pdf"
,,,"Zoology","http://www.zoo.cam.ac.uk/degree/2zoology/timetable.html"
,,,,
,,"Natural Sciences Tripos Part III",,
,,,"Astrophysics","http://www.ast.cam.ac.uk/students/undergrad/part_iii/lectures"
,,,"Biochemistry","http://www.bioc.cam.ac.uk/teaching/partii/index.html"
,,,"Chemistry ","http://www-teach.ch.cam.ac.uk/introcourses/guides.html"
,,,"Experimental & Theoretical Physics",
,,,"Geological Sciences","http://www.esc.cam.ac.uk/teaching/general-information"
,,,"History and Philosophy of Science","http://www.hps.cam.ac.uk/timetable/"
,,,"Materials Science ","http://www.msm.cam.ac.uk/teaching/timetables.php"
,,,"Systems Biology",
,,,,
,,,,
